location_id,name,locality,timezone,country_code,provider_name,isMobile,isMonitor,latitude,longitude
64,Mustang Bayou C619,,America/Chicago,US,Texas,False,True,29.308562,-95.19991
161,Clinton C403/C304/AH113,,America/Chicago,US,Texas,False,True,29.7337263,-95.2575931
162,Houston Deer Park C3,Houston-Sugar Land-Baytown,America/Chicago,US,AirNow,False,True,29.670025,-95.128508
163,Danciger C618,,America/Chicago,US,Texas,False,True,29.144291,-95.756601
164,Houston North Loop C,Houston-Sugar Land-Baytown,America/Chicago,US,AirNow,False,True,29.81453,-95.38769
165,UH WG Jones Forest C698,,America/Chicago,US,Texas,False,True,30.2362,-95.4832
166,UH Moody Tower C695,,America/Chicago,US,Texas,False,True,29.7176,-95.3414
167,UH Coastal Center C697,,America/Chicago,US,Texas,False,True,29.3879,-95.0414
168,Houston East C1/G316,,America/Chicago,US,Texas,False,True,29.7679965,-95.2205822
169,Houston Texas Avenue C411,,America/Chicago,US,Texas,False,True,29.752778,-95.350278
170,Lake Jackson C1016,,America/Chicago,US,Texas,False,True,29.0437592,-95.4729462
171,U of H,,America/Chicago,US,Texas,False,True,29.5741,-95.6497
172,HRM,,America/Chicago,US,Texas,False,True,29.7647877,-95.1785379
173,Houston Westhollow C,Houston-Sugar Land-Baytown,America/Chicago,US,AirNow,False,True,29.7233,-95.6358
174,Wallisville Road C617,,America/Chicago,US,Texas,False,True,29.821389,-94.99
175,Texas City Ball Park A147/C1022,,America/Chicago,US,Texas,False,True,29.3852338,-94.9315197
176,Freeport South Avenue I C1012,,America/Chicago,US,Texas,False,True,28.96443,-95.35483
177,Sheldon C551,,America/Chicago,US,Texas,False,True,29.8586111,-95.1602778
178,Conroe Relocated C78/A321,,America/Chicago,US,Texas,False,True,30.3503017,-95.4251278
179,Texas City 34th St. C620,,America/Chicago,US,Texas,False,True,29.4057,-94.94712
180,Channelview C15/AH115,,America/Chicago,US,Texas,False,True,29.8027073,-95.1254948
181,Houston Southwest Freeway C1066,,America/Chicago,US,Texas,False,True,29.7216,-95.49265
183,Lynchburg Ferry C1015/A165,,America/Chicago,US,Texas,False,True,29.7616528,-95.0813861
184,Crosby Library C553,,America/Chicago,US,Texas,False,True,29.9208333,-95.0683333
186,Houston Aldine C8,Houston-Sugar Land-Baytown,America/Chicago,US,AirNow,False,True,29.9011,-95.3261
