State,Code,City
Alabama,1671,Montgomery
Alabama,1957,Birmingham
Alabama,1655,Mobile
Alaska,1404,Juneau
Alaska,293,Anchorage
Alaska,1880,Fairbanks
Arizona,564,Phoenix
Arizona,2108,Tucson
Arizona,541,Mesa
Arkansas,2045,Springdale
California,8830,Sacramento
California,947241,Los Angeles
California,8805,San Diego
California,2009,San Francisco
Colorado,2183,Denver
Colorado,1940,Colorado Springs
Colorado,1557,Boulder
Connecticut,2151,Hartford
Connecticut,8466,New Haven
Delaware,1149,Milford
Delaware,1643,Wilmington
Florida,1560,Tallahassee
Florida,334,Miami
Florida,1291,Orlando
Georgia,1951,Atlanta
Georgia,1964,Savannah
Georgia,1312,Augusta
Hawaii,2090,Honolulu
Hawaii,1624,Hilo
Idaho,1398,Boise
Idaho,8631,Idaho Falls
Idaho,8710,Coeur d’Alene
Illinois,8864,Springfield
Illinois,1657,Chicago
Illinois,2248,Peoria
Indiana,314,Indianapolis
Indiana,1819358,Fort Wayne
Indiana,1544,Bloomington
Iowa,1619,Des Moines
Iowa,894,Cedar Rapids
Iowa,969,Iowa City
Kansas,1155,Topeka
Kansas,1467,Wichita
Kansas,1504020,Overland Park
Kentucky,1897,Nicholasville
Kentucky,1428,Louisville
Kentucky,973,Lexington
Louisiana,1754,Baton Rouge
Louisiana,1600493,New Orleans
Louisiana,1913,Shreveport
Maine,1448,Lewiston
Maine,1083851,Portland
Maine,8837,Bangor
Maryland,1142,Columbia
Maryland,270826,Baltimore
Massachusetts,452,Boston
Massachusetts,507,Worcester
Massachusetts,8786,Lowell
Michigan,7003,Lansing
Michigan,7001,Detroit
Michigan,1226,Grand Rapids
Minnesota,1772,Saint Paul
Minnesota,1808,Minneapolis
Minnesota,923,Duluth
Mississippi,326,Jackson
Mississippi,1229,Gulfport
Mississippi,2095,Hattiesburg
Missouri,1626,Springfield
Missouri,1571,St. Louis
Missouri,259,Kansas City
Montana,512,Helena
Montana,8828,Billings
Montana,534,Missoula
Nebraska,3837,Lincoln
Nebraska,1878,Omaha
Nebraska,8572,Grand Island
Nevada,1634,Carson City
Nevada,7712,Las Vegas
Nevada,8768,Reno
New Hampshire,1028,Concord
New Hampshire,8786,Manchester
New Jersey,921018,Trenton
New Jersey,971,Newark
New Jersey,928,Jersey City
New Mexico,1985,Santa Fe
New Mexico,1284439,Albuquerque
New Mexico,8669,Las Cruces
New York,654,Albany
New York,1275801,Buffalo
North Carolina,1801,Raleigh
North Carolina,1235978,Charlotte
North Carolina,9340,Durham
North Dakota,270740,Bismarck
North Dakota,270744,Fargo
Ohio,1944,Columbus
Ohio,1305,Cleveland
Ohio,1559,Cincinnati
Oklahoma,2027,Oklahoma City
Oklahoma,1630,Tulsa
Oklahoma,1834,Norman
Oregon,2030,Salem
Oregon,7510,Portland
Oregon,2069,Eugene
Pennsylvania,1116,Harrisburg
Pennsylvania,7781,Philadelphia
Pennsylvania,1338,Pittsburgh
Rhode Island,557,Providence
South Carolina,807,Columbia
South Carolina,304623,Charleston
South Carolina,881,Greenville
South Dakota,1037,Pierre
South Dakota,223314,Sioux Falls
South Dakota,814,Rapid City
Tennessee,289,Nashville
Tennessee,2076,Memphis
Tennessee,772,Knoxville
Texas,1316,Austin
Texas,164,Houston
Texas,1867568,Dallas
Utah,288,Salt Lake City
Utah,1867,Provo
Utah,2218,Ogden
Vermont,1590,Stowe
Vermont,880,Rutland
Virginia,1615,Richmond
Virginia,494922,Virginia Beach
Washington,1275,Olympia
Washington,931,Seattle
Washington,1862,Spokane
Washington,8832,Bellevue
West Virginia,1650,Charleston
Wisconsin,1601,Madison
Wisconsin,1638,Milwaukee
Wisconsin,1223,Green Bay
Wyoming,32615,Cheyenne
Wyoming,9510,Casper
Wyoming,279885,Cody
